Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,1/17/2023 12:54,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,60%,1/17/2023 13:01,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,60%,1/17/2023 13:02,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,60%,1/17/2023 13:05,-
1514032,W05 Brown’s Cafe,Smart Max,Waste,Fullness,60%,1/17/2023 13:14,-
1515669,W03 Li Ka Shing Hall,Smart Max,Waste,Fullness,60%,1/17/2023 13:25,-
1515700,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Waste,Fullness,80%,1/17/2023 13:30,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,60%,1/17/2023 13:38,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,1/17/2023 17:26,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,60%,1/17/2023 17:28,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,60%,1/18/2023 6:20,-
1514007,E21 Cafe Think,Smart Max,Compostables,Not Ready,20%,1/18/2023 6:24,-
1515745,W12 VLSB/Campanile Way,Smart Max,Waste,Fullness,60%,1/18/2023 6:25,-
1514009,E24 Chiet Hall,Smart Max,Compostables,Not Ready,20%,1/18/2023 6:26,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,1/18/2023 6:31,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Not Ready,20%,1/18/2023 6:33,-
1515682,E08 Cory Hall,Smart Max,Compostables,Not Ready,20%,1/18/2023 6:33,-
1520923,E30 Soda Hall NW,Smart Max,Compostables,Not Ready,20%,1/18/2023 6:34,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,1/18/2023 6:34,-
1515679,U04 Zellerbach,Smart Max,Waste,Fullness,100%,1/18/2023 6:37,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,1/18/2023 6:43,-
