Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"E26  Bechtel West Side","1520919","Waste","SM5","Smart Max","In Storage","60%","7 days","2 years ago","37.8741858","-122.258188","LE910","Manual Lock"
"E26  Bechtel West Side","1520922","Compostables","SM5","Smart Max","In Storage","60%","7 days","2 years ago","37.8741858","-122.258188","LE910","Manual Lock"
"E27 Coffee Lab","1516553","Waste","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.87281634336943","-122.25582517683506","LE910","Manual Lock"
"E27 Coffee Lab","1516529","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87282057790917","-122.25582517683506","LE910","Manual Lock"
"E27 Coffee Lab","1516542","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87281634336943","-122.25584395229816","LE910","Manual Lock"
"E28 Library/Campanile Way","1503628","Waste","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.8717","-122.2593","LE910","Manual Lock"
"E28 Library/Campanile Way","1503636","Compostables","SM5","Smart Max","In Service","60%","7 days","7 months ago","37.8718770591674","-122.25887956373691","ME910","Manual Lock"
"E28 Library/Campanile Way","1503647","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87172752492091","-122.25890303306579","LE910","Manual Lock"
"E29 Campanile East","1515764","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.871790783613015","-122.25833203643559","LE910","Manual Lock"
"E29 Campanile East","1515710","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87178972496331","-122.2583320364356","LE910","Manual Lock"
"E29 Campanile East","1515752","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87178866631359","-122.25833136588335","LE910","Manual Lock"
"E30 Soda Hall NW","1520910","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87592","-122.259055","LE910","Manual Lock"
"E30 Soda Hall NW","1520916","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.875885","-122.25920166666667","LE910","Manual Lock"
"E30 Soda Hall NW","1520923","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.875895","-122.25897333333333","LE910","Manual Lock"
"E30 Tan Hall North Side","1520905","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87314166666667","-122.25652166666667","LE910","Manual Lock"
"E30 Tan Hall North Side","1520917","Waste","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.873310000000004","-122.25646833333333","LE910","Manual Lock"
"E30 Tan Hall North Side","1520912","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87330333333333","-122.25646666666667","LE910","Manual Lock"
"E31 South Hall Rd. Near Clock Tower","1516528","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87168983872822","-122.2580095398481","LE910","Manual Lock"
"E31 South Hall Rd. Near Clock Tower","1516541","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87168983872822","-122.2580095398481","LE910","Manual Lock"
"E31 South Hall Rd. Near Clock Tower","1516547","Waste","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87168983872822","-122.2580095398481","LE910","Manual Lock"
"Golden Bear Cafe","500103011","Bottles/Cans","SM5","Smart Max","In Service","60%","Disabled","5 hours ago","37.86978428990735","-122.2596215247071","ME910","Manual Lock"
"Golden Bear Cafe","500103012","Compostables","SM5","Smart Max","In Service","60%","Disabled","an hour ago","37.86978428990735","-122.2596215247071","ME910","Manual Lock"
"Golden Bear Cafe","500101645","Waste","SM5","Smart Max","In Service","60%","Disabled","2 months ago","37.86978428990735","-122.2596215247071","ME910","Manual Lock"
"Hearst Gym Annex","1520915","Waste","SM5","Smart Max","In Service","60%","7 days","35 minutes ago","37.86931292078011","-122.2578713914926","LE910","Manual Lock"
