Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,threshold_violation_gal
2503769,Waste,2,31.32,20.88,0,0.0,31.32,0,0.0
2503769,Waste,3,46.98,31.32,0,0.0,46.98,0,0.0
2503769,Waste,4,62.64,41.76,0,0.0,62.64,0,0.0
2503769,Waste,5,78.29,52.2,0,0.0,78.29,0,0.0
2503769,Waste,6,93.95,62.64,0,0.0,93.95,0,3.95
1503637,Compostables,0,91.91,61.27,1,91.91,0.0,0,1.91
1503637,Compostables,1,18.38,12.25,0,0.0,18.38,0,0.0
1503637,Compostables,2,36.76,24.51,0,0.0,36.76,0,0.0
1503637,Compostables,3,55.15,36.76,0,0.0,55.15,0,0.0
1503637,Compostables,4,73.53,49.02,1,73.53,0.0,0,0.0
1503637,Compostables,5,18.38,12.25,0,0.0,18.38,0,0.0
1503637,Compostables,6,36.76,24.51,0,0.0,36.76,0,0.0
1520915,Waste,0,145.56,97.04,1,145.56,0.0,0,55.56
1520915,Waste,1,29.11,19.41,0,0.0,29.11,0,0.0
1520915,Waste,2,58.22,38.82,0,0.0,58.22,0,0.0
1520915,Waste,3,87.34,58.22,1,87.34,0.0,0,0.0
1520915,Waste,4,29.11,19.41,0,0.0,29.11,0,0.0
1520915,Waste,5,58.22,38.82,0,0.0,58.22,0,0.0
1520915,Waste,6,87.34,58.22,0,0.0,87.34,0,0.0
1514031,Waste,0,90.57,60.38,1,90.57,0.0,0,0.57
1514031,Waste,1,30.19,20.13,1,30.19,0.0,0,0.0
1514031,Waste,2,30.19,20.13,0,0.0,30.19,0,0.0
1514031,Waste,3,60.38,40.25,1,60.38,0.0,0,0.0
1514031,Waste,4,30.19,20.13,0,0.0,30.19,0,0.0
1514031,Waste,5,60.38,40.25,0,0.0,60.38,0,0.0
1514031,Waste,6,90.57,60.38,0,0.0,90.57,0,0.57
1515751,Compostables,0,90.01,60.01,1,90.01,0.0,0,0.01
1515751,Compostables,1,30.0,20.0,0,0.0,30.0,0,0.0
1515751,Compostables,2,60.01,40.0,1,60.01,0.0,0,0.0
1515751,Compostables,3,30.0,20.0,0,0.0,30.0,0,0.0
1515751,Compostables,4,60.01,40.0,0,0.0,60.01,0,0.0
1515751,Compostables,5,90.01,60.01,1,90.01,0.0,0,0.01
1515751,Compostables,6,30.0,20.0,0,0.0,30.0,0,0.0
1503634,Bottles/Cans,0,0.0,0.0,1,0.0,0.0,0,0.0
1503634,Bottles/Cans,1,0.0,0.0,0,0.0,0.0,0,0.0
1503634,Bottles/Cans,2,0.0,0.0,0,0.0,0.0,0,0.0
1503634,Bottles/Cans,3,0.0,0.0,0,0.0,0.0,0,0.0
1503634,Bottles/Cans,4,0.0,0.0,0,0.0,0.0,0,0.0
1503634,Bottles/Cans,5,0.0,0.0,0,0.0,0.0,0,0.0
1503634,Bottles/Cans,6,0.0,0.0,0,0.0,0.0,0,0.0
1503638,Bottles/Cans,0,69.1,46.06,0,0.0,69.1,0,0.0
1503638,Bottles/Cans,1,80.61,53.74,1,80.61,0.0,0,0.0
1503638,Bottles/Cans,2,11.52,7.68,0,0.0,11.52,0,0.0
1503638,Bottles/Cans,3,23.03,15.35,0,0.0,23.03,0,0.0
1503638,Bottles/Cans,4,34.55,23.03,0,0.0,34.55,0,0.0
1503638,Bottles/Cans,5,46.06,30.71,0,0.0,46.06,0,0.0
1503638,Bottles/Cans,6,57.58,38.39,0,0.0,57.58,0,0.0
1503641,Compostables,0,45.84,30.56,0,0.0,45.84,0,0.0
1503641,Compostables,1,53.47,35.65,1,53.47,0.0,0,0.0
1503641,Compostables,2,7.64,5.09,0,0.0,7.64,0,0.0
1503641,Compostables,3,15.28,10.19,0,0.0,15.28,0,0.0
1503641,Compostables,4,22.92,15.28,0,0.0,22.92,0,0.0
1503641,Compostables,5,30.56,20.37,0,0.0,30.56,0,0.0
1503641,Compostables,6,38.2,25.46,0,0.0,38.2,0,0.0
1503646,Bottles/Cans,0,0.0,0.0,0,0.0,0.0,0,0.0
1503646,Bottles/Cans,1,0.0,0.0,1,0.0,0.0,0,0.0
1503646,Bottles/Cans,2,0.0,0.0,0,0.0,0.0,0,0.0
1503646,Bottles/Cans,3,0.0,0.0,0,0.0,0.0,0,0.0
1503646,Bottles/Cans,4,0.0,0.0,0,0.0,0.0,0,0.0
1503646,Bottles/Cans,5,0.0,0.0,0,0.0,0.0,0,0.0
1503646,Bottles/Cans,6,0.0,0.0,0,0.0,0.0,0,0.0
1514012,Bottles/Cans,0,76.73,51.15,0,0.0,76.73,0,0.0
1514012,Bottles/Cans,1,89.52,59.68,1,89.52,0.0,0,0.0
1514012,Bottles/Cans,2,12.79,8.53,0,0.0,12.79,0,0.0
1514012,Bottles/Cans,3,25.58,17.05,0,0.0,25.58,0,0.0
1514012,Bottles/Cans,4,38.37,25.58,0,0.0,38.37,0,0.0
1514012,Bottles/Cans,5,51.15,34.1,0,0.0,51.15,0,0.0
