Serial,Description,stream,threshold_pct,threshold_pct_raw,density_lb_per_gal,days_since_last_service,days_since_last_service_raw,daily_fill_growth_pct,current_fill_pct_est,bin_capacity_gal,avg_service_min,avg_travel_proxy_min,avg_travel_proxy_min_phase1,Stop_ID,service_walk_min,Lat,Lng,Access_Lat,Access_Lng,fill_day_0,fill_day_1,fill_day_2,fill_day_3,fill_day_4,fill_day_5,fill_day_6,pickup_gal_day_0,pickup_gal_day_1,pickup_gal_day_2,pickup_gal_day_3,pickup_gal_day_4,pickup_gal_day_5,pickup_gal_day_6,pickup_lb_day_0,pickup_lb_day_1,pickup_lb_day_2,pickup_lb_day_3,pickup_lb_day_4,pickup_lb_day_5,pickup_lb_day_6,bin_over_safe_lb_day_0,bin_over_safe_lb_day_1,bin_over_safe_lb_day_2,bin_over_safe_lb_day_3,bin_over_safe_lb_day_4,bin_over_safe_lb_day_5,bin_over_safe_lb_day_6,bin_over_hard_lb_day_0,bin_over_hard_lb_day_1,bin_over_hard_lb_day_2,bin_over_hard_lb_day_3,bin_over_hard_lb_day_4,bin_over_hard_lb_day_5,bin_over_hard_lb_day_6,deadline_threshold,deadline_interval,service_deadline,initial_deadline_threshold_no_service,initial_deadline_interval_no_service,initial_service_deadline_no_service,must_service_within_horizon,anchor_date,horizon_day_0,fill_gal,growth_gal_per_day,rolling_day,fill_pct_start
1515742,E03 University Library,Waste,60.0,60,1.0,6.0,6.0,20.191633559242813,121.14980135545687,150.0,4.0,10.0,10.0,1515742,0.0,37.8728593933986,-122.2593042252641,37.8728593933986,-122.2593042252641,121.14980135545687,125.0,125.0,125.0,125.0,125.0,125.0,181.7247020331853,187.5,187.5,187.5,187.5,187.5,187.5,181.7247020331853,187.5,187.5,187.5,187.5,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,181.7247020331853,30.28745033886422,1,121.14980135545687
1515743,E02 North Entrance Memorial Glade,Waste,60.0,60,1.0,6.0,6.0,21.44452717795979,125.0,150.0,4.0,10.0,10.0,1515743,0.0,37.87326599719681,-122.25996918976308,37.87326599719681,-122.25996918976308,125.0,125.0,125.0,125.0,125.0,125.0,125.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,187.5,32.16679076693969,1,125.0
1515750,E02 North Entrance Memorial Glade,Compostables,60.0,60,1.2,7.0,7.0,15.42927650319941,108.00493552239587,150.0,4.0,10.0,10.0,1515750,0.0,37.87326599719681,-122.2599745541811,37.87326599719681,-122.2599745541811,108.00493552239587,123.43421202559529,125.0,125.0,125.0,125.0,125.0,162.0074032835938,185.15131803839293,187.5,187.5,187.5,187.5,187.5,194.40888394031253,222.18158164607152,225.0,225.0,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,162.0074032835938,23.143914754799116,1,108.00493552239587
1515751,U14 Sproul Hall Steps,Compostables,60.0,60,1.2,3.0,3.0,20.002315350775643,60.006946052326924,150.0,4.0,10.0,10.0,1515751,0.0,37.86977138164017,-122.25922755897044,37.86977138164017,-122.25922755897044,60.006946052326924,80.00926140310257,100.01157675387822,120.01389210465385,125.0,125.0,125.0,90.0104190784904,120.01389210465386,150.01736513081732,180.0208381569808,187.5,187.5,187.5,108.01250289418847,144.01667052558463,180.02083815698077,216.02500578837694,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,4.0,0.0,0.0,4.0,0.0,True,2026-02-20,2026-02-20,90.0104190784904,30.003473026163466,1,60.00694605232693
1515761,E05 V&A Cafe/Etcheverry,Bottles/Cans,,60,0.3,10.0,13.0,6.147982025231185,61.47982025231185,150.0,4.0,10.0,10.0,1515761,0.0,37.87561717357402,-122.25893653929232,37.87561717357402,-122.25893653929232,61.47982025231185,67.62780227754304,73.77578430277423,79.9237663280054,86.07174835323659,92.21973037846777,98.36771240369896,92.21973037846777,101.44170341631455,110.66367645416135,119.8856494920081,129.10762252985486,138.32959556770166,147.55156860554843,27.66591911354033,30.432511024894364,33.1991029362484,35.96569484760243,38.732286758956455,41.498878670310496,44.26547058166452,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,92.21973037846777,9.221973037846777,1,61.47982025231185
1515765,E02 North Entrance Memorial Glade,Bottles/Cans,,60,0.3,10.0,10.0,8.629253894378788,86.29253894378789,150.0,4.0,10.0,10.0,1515765,0.0,37.87326917308224,-122.25997455418108,37.87326917308224,-122.25997455418108,86.29253894378789,94.92179283816668,103.55104673254547,112.18030062692425,120.80955452130304,125.0,125.0,129.43880841568182,142.38268925725004,155.32657009881822,168.27045094038635,181.21433178195457,187.5,187.5,38.83164252470454,42.714806777175006,46.597971029645464,50.48113528211591,54.36429953458637,56.25,56.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,129.43880841568182,12.943880841568182,1,86.29253894378787
1515766,E07 Sutardja Dai Hall/Yali's 2,Bottles/Cans,,60,0.3,10.0,13.0,2.215202763412735,22.15202763412735,150.0,4.0,10.0,10.0,1515766,0.0,37.87457206853039,-122.25877560675144,37.87457206853039,-122.25877560675144,22.15202763412735,24.367230397540084,26.58243316095282,28.797635924365554,31.01283868777829,33.228041451191025,35.44324421460376,33.228041451191025,36.550845596310126,39.87364974142923,43.19645388654833,46.51925803166744,49.84206217678654,53.164866321905635,9.968412435357306,10.965253678893037,11.96209492242877,12.9589361659645,13.955777409500232,14.952618653035962,15.949459896571689,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,33.228041451191025,3.322804145119102,1,22.15202763412735
1515776,E06 Sutardja Dali Hall/Yali's 1,Bottles/Cans,,60,0.3,10.0,13.0,5.781658766721078,57.81658766721078,150.0,4.0,10.0,10.0,1515776,0.0,37.87487324238327,-122.25890267640352,37.87487324238327,-122.25890267640352,57.81658766721078,63.59824643393186,69.37990520065294,75.16156396737401,80.94322273409509,86.72488150081617,92.50654026753725,86.72488150081617,95.3973696508978,104.0698578009794,112.74234595106101,121.41483410114262,130.08732225122424,138.75981040130588,26.017464450244848,28.61921089526934,31.220957340293822,33.8227037853183,36.424450230342785,39.02619667536727,41.62794312039176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,86.72488150081617,8.672488150081618,1,57.81658766721078
1515784,U19 Wheeler Walkway,Compostables,60.0,60,1.2,6.0,6.0,16.681146828844483,100.0868809730669,150.0,4.0,10.0,10.0,1515784,0.0,37.87086234197826,-122.25920140743256,37.87086234197826,-122.25920140743256,100.0868809730669,116.76802780191139,125.0,125.0,125.0,125.0,125.0,150.13032145960034,175.15204170286705,187.5,187.5,187.5,187.5,187.5,180.1563857515204,210.18245004344047,225.0,225.0,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,150.13032145960034,25.021720243266724,1,100.0868809730669
1515788,E03 University Library,Compostables,60.0,60,1.2,8.0,8.0,10.424710424710424,83.3976833976834,150.0,4.0,10.0,10.0,1515788,0.0,37.8728593933986,-122.2593042252641,37.8728593933986,-122.2593042252641,83.3976833976834,93.82239382239382,104.24710424710425,114.67181467181467,125.0,125.0,125.0,125.0965250965251,140.73359073359075,156.37065637065635,172.007722007722,187.5,187.5,187.5,150.1158301158301,168.8803088803089,187.6447876447876,206.4092664092664,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,125.0965250965251,15.637065637065637,1,83.3976833976834
